,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,56.14,0.0,9.6,9.88,0.0,23.45,43.22,75.4,48.91,15.64,40.02,27.79,0.0,78.44,36.73,79.76,78.6,9.61,71.43,53.81,32.5,0.74,18.26,61.67,19.95,59.81,6.1,68.31,0.0,44.47,23.57,73.93,62.15,80.86,91.19,62.73,80.69,99.98,62.33,60.29,69.03,8.82,96.38,99.22,27.41,7.43,81.63,100.0,98.38,74.3,43.84,87.0,52.08,92.19,30.17,48.34,83.22,100.0,99.81,71.81,77.01,91.11,87.59,98.49,52.56,78.19,89.76,83.25,78.6,50.75,89.71,66.27,51.83,0.51,2.33,53.46,59.68,3.51,84.49,50.7,91.27,88.41,38.44,46.57,84.48,89.17,45.85,77.58,84.64,11.77,65.37,62.07,84.67,79.1,82.13,54.07,89.14,81.48,22.07,43.12
11,0.0,3.07,58.4,0.0,13.02,31.85,13.88,6.1,68.17,5.65,21.65,52.08,78.93,74.3,14.29,45.01,37.37,24.55,2.64,99.81,89.95,98.49,98.38,99.22,92.19,0.89,95.48,61.09,87.0,100.0,84.49,83.25,96.64,100.0,62.33,77.58,40.06,80.39,83.22,81.63,89.76,89.76,91.11,87.59,83.85,4.97,6.23,91.06,80.65,60.29,38.48,75.46,33.69,69.2,80.86,51.83,78.6,96.38,53.11,99.98,77.01,82.33,88.82,88.82,88.82,32.5,84.67,71.43,22.08,53.52,61.67,3.38,31.58,8.2,91.19,84.48,79.1,67.21,59.82,80.69,63.61,89.71,48.86,82.28,83.62,91.27,88.41,84.62,78.19,19.13,72.89,62.07,11.19,76.63,84.03,8.24,34.45,70.8,63.2,53.61
12,8.84,65.69,26.39,0.0,54.83,4.98,11.65,23.81,84.03,63.2,65.32,28.9,18.93,99.22,92.19,7.43,58.4,81.63,100.0,99.81,24.11,80.39,61.09,43.84,80.65,48.34,87.59,83.85,100.0,99.98,0.0,71.43,98.49,96.38,98.38,82.28,84.67,12.34,48.91,80.86,77.58,84.48,75.39,77.01,14.06,72.89,48.86,76.63,2.81,85.21,84.49,61.67,43.12,39.57,20.72,27.79,33.95,78.6,89.14,63.88,88.82,50.75,69.2,80.69,52.47,28.53,81.66,83.22,71.81,62.33,84.62,76.24,91.11,9.36,31.66,53.49,23.23,52.08,91.19,8.39,76.59,6.23,5.7,78.93,60.29,82.21,45.01,32.21,0.0,74.3,68.71,78.19,52.56,34.53,68.17,61.71,0.81,66.27,79.1,83.25
13,0.24,45.01,4.98,15.73,64.46,24.11,43.12,99.81,0.0,74.3,89.95,84.03,98.38,99.22,80.65,61.09,43.84,99.98,52.47,91.19,83.85,92.19,92.19,92.19,71.81,50.74,100.0,68.17,80.86,44.47,7.43,84.49,87.59,87.0,3.04,88.41,40.06,77.01,91.06,96.64,67.17,77.58,1.62,78.19,95.48,91.27,6.23,67.21,78.6,96.38,45.85,84.64,79.1,36.73,80.69,63.61,62.07,83.22,81.63,83.62,58.4,6.1,91.11,98.49,3.18,86.46,89.17,72.21,46.33,62.04,0.0,48.86,22.08,40.47,50.75,5.29,89.71,89.76,100.0,50.69,53.46,83.25,21.88,9.96,78.93,3.88,3.07,78.6,90.39,60.29,84.81,84.67,71.43,65.32,38.65,45.62,80.39,81.48,92.03,0.0
14,7.34,0.0,0.0,13.87,3.24,3.14,72.24,5.38,0.0,5.26,7.12,40.47,20.5,3.77,85.21,89.14,63.88,52.08,98.38,7.88,30.41,96.64,95.48,99.81,80.86,89.95,92.19,80.65,45.73,91.19,51.83,99.22,99.98,60.29,19.13,84.67,50.74,98.49,96.38,62.33,80.39,48.34,77.01,83.22,81.63,77.58,0.0,84.49,87.59,87.59,86.14,78.6,70.8,63.2,100.0,89.17,38.79,33.95,11.91,76.24,88.41,7.02,84.48,100.0,30.17,61.67,91.06,61.09,43.84,84.03,91.11,91.11,81.48,92.03,80.69,75.12,22.07,87.0,69.2,39.57,62.07,45.28,11.83,83.85,46.33,87.83,36.96,66.03,89.76,38.53,23.71,91.27,84.62,91.39,78.6,89.71,84.64,79.1,62.04,83.62
15,8.4,0.69,0.0,0.0,4.15,88.89,7.42,5.65,9.79,0.0,57.27,3.14,55.96,66.84,37.38,82.09,45.85,77.58,14.24,62.04,43.2,2.13,62.07,12.01,96.64,67.21,13.87,89.95,95.48,98.38,83.22,83.85,3.33,99.81,99.22,81.63,81.63,81.63,45.73,91.19,87.59,99.98,60.29,44.47,19.13,88.82,50.74,96.38,30.17,62.33,84.67,63.2,98.49,74.3,92.19,84.49,84.03,100.0,68.17,80.86,78.19,48.34,37.37,61.09,87.0,84.48,58.4,77.01,100.0,80.69,84.81,31.85,76.63,19.64,91.11,83.83,67.17,6.23,82.33,50.7,56.14,0.0,75.39,79.1,62.73,65.37,43.76,56.57,68.71,50.75,10.25,89.76,83.25,78.93,39.57,82.28,51.83,65.32,52.56,52.08
16,0.0,39.86,0.0,0.0,21.88,28.74,50.55,38.44,12.07,0.0,29.57,17.0,6.2,43.05,64.48,28.17,58.13,38.63,4.02,45.37,3.25,20.95,31.53,77.52,49.09,76.85,50.74,75.46,33.69,80.65,70.51,36.73,69.2,80.86,71.81,67.57,76.66,76.66,50.75,60.29,12.19,27.8,96.64,0.0,26.39,83.22,83.22,67.21,89.95,98.38,95.48,9.35,3.96,99.81,92.19,87.59,87.59,92.03,98.49,99.22,89.76,81.63,81.63,100.0,100.0,83.25,91.11,91.11,91.11,43.84,83.85,83.85,90.39,0.97,38.53,5.38,61.67,91.39,91.06,31.66,28.36,84.67,6.23,8.61,0.0,77.58,60.68,48.86,84.49,78.6,66.9,84.48,80.39,48.34,15.73,89.17,0.0,82.28,76.24,85.21
17,0.0,84.17,21.5,21.65,89.14,27.8,2.72,3.77,8.9,36.32,66.03,84.67,32.21,99.22,2.79,38.8,98.38,39.57,99.98,91.19,96.64,92.19,80.86,62.33,60.29,38.79,95.48,50.74,99.81,71.81,89.17,84.49,83.22,87.59,81.63,78.19,48.34,70.8,98.49,14.06,45.85,88.41,0.0,80.65,44.47,7.02,0.51,87.0,100.0,2.33,7.43,83.85,21.88,61.09,100.0,77.58,84.48,96.38,80.69,74.3,87.83,84.81,84.62,89.95,53.02,79.1,78.6,62.04,81.48,92.03,79.33,61.0,77.01,82.13,78.93,51.83,91.11,63.2,32.04,53.11,86.37,11.83,89.76,62.32,69.2,69.11,0.0,0.0,91.06,22.07,83.83,67.17,72.9,53.43,76.63,30.21,80.39,83.25,82.33,67.21
18,0.0,0.78,34.45,0.0,0.0,62.07,33.95,28.36,68.31,13.33,38.48,22.87,39.32,84.49,48.34,86.14,7.43,32.21,18.61,99.22,38.8,43.84,98.38,99.81,91.19,89.95,92.19,80.65,52.47,44.47,77.01,81.63,96.64,80.86,99.98,70.8,83.22,88.82,74.3,71.81,87.59,24.55,78.93,2.79,53.02,84.48,84.67,78.19,68.17,3.04,45.85,79.1,19.64,98.49,96.38,38.79,38.79,58.4,52.23,80.69,89.76,82.33,87.0,100.0,62.33,0.0,78.6,91.11,83.85,11.77,71.43,30.03,100.0,50.75,52.08,82.28,66.27,61.67,83.25,53.52,8.5,60.68,8.61,83.62,50.74,89.17,80.39,67.21,64.12,78.6,87.83,79.33,1.12,90.39,31.58,23.71,77.58,91.06,89.14,36.29
19,60.68,20.73,29.56,8.98,0.0,40.02,62.07,25.35,31.55,84.49,79.33,88.41,18.61,48.34,99.22,38.8,96.64,50.74,92.19,62.33,89.71,78.6,95.48,98.38,99.81,36.96,45.85,91.27,6.18,89.95,1.68,58.4,18.16,81.48,78.93,40.47,82.13,37.37,85.21,31.43,55.4,89.17,5.16,52.08,5.65,79.1,87.0,100.0,68.17,26.69,23.71,91.11,91.06,84.03,98.49,83.22,0.0,44.4,22.65,60.29,12.19,84.62,87.59,21.88,53.52,72.21,70.8,89.76,81.63,81.63,84.48,78.19,6.23,92.03,14.29,72.9,75.39,83.85,4.16,30.17,71.43,21.65,89.14,19.99,44.47,45.62,7.65,78.44,0.0,87.62,68.31,90.39,46.42,9.14,11.68,0.0,63.61,13.72,83.62,61.09
