"solvent_file_name","solvent_SMILES","solvent_stoichiometry","solvent_number_of_atoms","solvent_charge","solvent_multiplicity","solvent_convergence_criteria","solvent_dipole","solvent_molar_mass","solvent_molar_volume","solvent_electronic_spatial_extent","solvent_homo_energy","solvent_lumo_energy","solvent_electronegativity","solvent_hardness","solvent_electrophilicity","solvent_E_scf","solvent_zero_point_correction","solvent_E_thermal_correction","solvent_H_thermal_correction","solvent_G_thermal_correction","solvent_E_zpe","solvent_E","solvent_H","solvent_G","solvent_ES_root_dipole","solvent_ES_root_molar_volume","solvent_ES_root_electronic_spatial_extent","solvent_ES1_transition","solvent_ES1_osc_strength","solvent_ES1_<S**2>","solvent_ES2_transition","solvent_ES2_osc_strength","solvent_ES2_<S**2>","solvent_ES3_transition","solvent_ES3_osc_strength","solvent_ES3_<S**2>","solvent_ES4_transition","solvent_ES4_osc_strength","solvent_ES4_<S**2>","solvent_ES5_transition","solvent_ES5_osc_strength","solvent_ES5_<S**2>","solvent_ES6_transition","solvent_ES6_osc_strength","solvent_ES6_<S**2>","solvent_ES7_transition","solvent_ES7_osc_strength","solvent_ES7_<S**2>","solvent_ES8_transition","solvent_ES8_osc_strength","solvent_ES8_<S**2>","solvent_ES9_transition","solvent_ES9_osc_strength","solvent_ES9_<S**2>","solvent_ES10_transition","solvent_ES10_osc_strength","solvent_ES10_<S**2>","solvent_c_min_atom_number","solvent_c_min_atom","solvent_c_min_atom=O","solvent_c_min_atom=C","solvent_c_min_Mulliken_charge","solvent_c_min_APT_charge","solvent_c_min_NPA_charge","solvent_c_min_NPA_core","solvent_c_min_NPA_valence","solvent_c_min_NPA_Rydberg","solvent_c_min_NPA_total","solvent_c_min_NMR_shift","solvent_c_min_NMR_anisotropy","solvent_c_min_ES_root_Mulliken_charge","solvent_c_min_ES_root_NPA_charge","solvent_c_min_ES_root_NPA_core","solvent_c_min_ES_root_NPA_valence","solvent_c_min_ES_root_NPA_Rydberg","solvent_c_min_ES_root_NPA_total","solvent_c_min+1_atom_number","solvent_c_min+1_atom","solvent_c_min+1_atom=N","solvent_c_min+1_atom=C","solvent_c_min+1_atom=O","solvent_c_min+1_Mulliken_charge","solvent_c_min+1_APT_charge","solvent_c_min+1_NPA_charge","solvent_c_min+1_NPA_core","solvent_c_min+1_NPA_valence","solvent_c_min+1_NPA_Rydberg","solvent_c_min+1_NPA_total","solvent_c_min+1_NMR_shift","solvent_c_min+1_NMR_anisotropy","solvent_c_min+1_ES_root_Mulliken_charge","solvent_c_min+1_ES_root_NPA_charge","solvent_c_min+1_ES_root_NPA_core","solvent_c_min+1_ES_root_NPA_valence","solvent_c_min+1_ES_root_NPA_Rydberg","solvent_c_min+1_ES_root_NPA_total","solvent_c_max_atom_number","solvent_c_max_atom","solvent_c_max_atom=C","solvent_c_max_atom=H","solvent_c_max_Mulliken_charge","solvent_c_max_APT_charge","solvent_c_max_NPA_charge","solvent_c_max_NPA_core","solvent_c_max_NPA_valence","solvent_c_max_NPA_Rydberg","solvent_c_max_NPA_total","solvent_c_max_NMR_shift","solvent_c_max_NMR_anisotropy","solvent_c_max_ES_root_Mulliken_charge","solvent_c_max_ES_root_NPA_charge","solvent_c_max_ES_root_NPA_core","solvent_c_max_ES_root_NPA_valence","solvent_c_max_ES_root_NPA_Rydberg","solvent_c_max_ES_root_NPA_total","solvent_c_max-1_atom_number","solvent_c_max-1_atom","solvent_c_max-1_atom=H","solvent_c_max-1_atom=C","solvent_c_max-1_Mulliken_charge","solvent_c_max-1_APT_charge","solvent_c_max-1_NPA_charge","solvent_c_max-1_NPA_core","solvent_c_max-1_NPA_valence","solvent_c_max-1_NPA_Rydberg","solvent_c_max-1_NPA_total","solvent_c_max-1_NMR_shift","solvent_c_max-1_NMR_anisotropy","solvent_c_max-1_ES_root_Mulliken_charge","solvent_c_max-1_ES_root_NPA_charge","solvent_c_max-1_ES_root_NPA_core","solvent_c_max-1_ES_root_NPA_valence","solvent_c_max-1_ES_root_NPA_Rydberg","solvent_c_max-1_ES_root_NPA_total","solvent_c_min_%VBur","solvent_c_min+1_%VBur","solvent_c_max_%VBur","solvent_c_max-1_%VBur"
"solvent_1","O=CN(C)C","C3H7NO",12,0,1,"met",3.8297,73.0944,535.244,443.7717,-0.24217,0.03219,0.10499,0.13718,0.13718,-248.5122455,0.103039,0.109123,0.110067,0.073941,-248.409207,-248.403123,-248.402178,-248.438305,2.3631,662.683,442.5973,"214.49","0.0008","0.000","172.37","0.2319","0.000","158.36","0.0295","0.000","147.38","0.0320","0.000","144.67","0.0146","0.000","135.92","0.0661","0.000","134.78","0.0005","0.000","131.61","0.0000","0.000","128.24","0.0010","0.000","127.98","0.0072","0.000","1","O",1,0,"-0.467955","-0.765884","-0.61669","1.99982","6.59714","0.01972","8.61669","-44.8937","556.4652","-0.293068","-0.27355","1.99984","6.25888","0.01484","8.27355","3","N",1,0,0,"-0.347144","-0.728141","-0.47734","1.99939","5.46726","0.01068","7.47734","152.0657","111.5214","-0.345365","-0.46415","1.99939","5.45334","0.01141","7.46415","2","C",1,0,"0.349649","1.004705","0.51620","1.99950","3.44684","0.03747","5.48380","40.9853","68.3881","0.160522","0.11328","1.99952","3.83876","0.04844","5.88672","7","H",1,0,"0.203750","0.062486","0.26112","0.00000","0.73636","0.00252","0.73888","28.0210","6.5332","0.178210","0.24000","0.00000","0.75891","0.00109","0.76000",0.35516900691596054,0.6164186700996976,0.467021945450735,0.3902278374898955
"solvent_2","C1CCOC1","C4H8O",13,0,1,"met",1.7892,72.1066,707.723,373.6312,-0.23738,0.08753,0.074925,0.16245500000000002,0.16245500000000002,-232.449449426,0.117359,0.122315,0.123259,0.088698,-232.33209,-232.327135,-232.32619,-232.360752,2.3579,927.361,380.8554,"159.41","0.0179","0.000","144.80","0.0029","0.000","141.90","0.0037","0.000","133.60","0.0009","0.000","129.57","0.0024","0.000","128.42","0.0049","0.000","126.78","0.0408","0.000","123.90","0.1566","0.000","121.56","0.0032","0.000","121.14","0.0108","0.000","4","O",1,0,"-0.493113","-0.666907","-0.58697","1.99982","6.57538","0.01177","8.58697","286.7415","130.8564","-0.186948","-0.12203","1.99985","6.11343","0.00875","8.12203","1","C",0,1,0,"-0.305775","0.057530","-0.49429","1.99934","4.48429","0.01066","6.49429","160.9888","18.2054","-0.192053","-0.49932","1.99936","4.48577","0.01419","6.49932","3","C",1,0,"-0.002896","0.506838","-0.10604","1.99931","4.08904","0.01768","6.10604","122.7826","69.7439","-0.044134","-0.16662","1.99922","4.14497","0.02243","6.16662","5","C",0,1,"-0.002797","0.506653","-0.10609","1.99931","4.08911","0.01767","6.10609","122.7995","69.8309","-0.044254","-0.16679","1.99922","4.14509","0.02247","6.16679",0.4992964282506511,0.5317804856142031,0.5008532678662315,0.5007035717493488
"solvent_3","CC#N","C2H3N",6,0,1,"met",3.8134,41.0524,486.058,161.6325,-0.32642,0.03664,0.14489,0.18153,0.18153,-132.754928661,0.045639,0.049234,0.050178,0.021623,-132.70929,-132.705695,-132.704751,-132.733306,2.9101,435.427,162.8818,"159.68","0.0000","0.000","153.53","0.0025","0.000","153.53","0.0025","0.000","131.71","0.0210","0.000","131.71","0.0210","0.000","122.77","0.0015","0.000","122.77","0.0015","0.000","113.98","0.1885","0.000","109.57","0.4312","0.000","104.29","0.0000","0.000","1","C",0,1,"-0.520567","0.084608","-0.78341","1.99927","4.77916","0.00498","6.78341","187.8658","20.7869","-0.496160","-0.79171","1.99932","4.78361","0.00878","6.79171","3","N",1,0,0,"-0.456295","-0.306365","-0.32740","1.99965","5.30649","0.02125","7.32740","-1.6065","470.7911","-0.430731","-0.26474","1.99970","5.22806","0.03698","7.26474","2","C",1,0,"0.351272","0.115119","0.28380","1.99942","3.68510","0.03168","5.71620","86.8843","304.5537","0.368349","0.29837","1.99956","3.65749","0.04457","5.70163","6","H",1,0,"0.208530","0.035546","0.27567","0.00000","0.72364","0.00069","0.72433","30.5842","8.5261","0.186182","0.25269","0.00000","0.74074","0.00657","0.74731",0.3491512230172749,0.2839735337265351,0.39837130624831585,0.30439208406933926
"solvent_4","CC1=CC=CC=C1","C7H8",15,0,1,"met",0.3196,92.1402,1020.231,719.3373,-0.23535,0.00535,0.115,0.12035,0.12035,-271.566637873,0.128288,0.134516,0.13546,0.097357,-271.438349,-271.432122,-271.431177,-271.469281,0.3732,1048.97,720.0381,"228.13","0.0011","0.000","201.24","0.0219","0.000","173.20","0.4352","0.000","172.66","0.6888","0.000","158.60","0.0000","0.000","157.56","0.0026","0.000","156.32","0.0007","0.000","155.93","0.0042","0.000","155.14","0.0031","0.000","152.12","0.0022","0.000","1","C",0,1,"-0.528841","0.090245","-0.68741","1.99939","4.68078","0.00724","6.68741","167.4734","34.4901","-0.529133","-0.69424","1.99940","4.68707","0.00776","6.69424","3","C",0,1,0,"-0.178860","-0.057332","-0.23220","1.99902","4.22063","0.01255","6.23220","67.6767","150.7324","-0.182652","-0.23386","1.99907","4.21716","0.01763","6.23386","9","H",0,1,"0.155988","-0.020224","0.23807","0.00000","0.76105","0.00088","0.76193","30.1094","7.1865","0.157344","0.23884","0.00000","0.75955","0.00161","0.76116","8","H",1,0,"0.155984","-0.020216","0.23806","0.00000","0.76106","0.00088","0.76194","30.1099","7.1860","0.157341","0.23884","0.00000","0.75956","0.00161","0.76116",0.4252267896170773,0.5402532858297656,0.3517259962276579,0.35181581389778743
"solvent_5","CC(OCC)=O","C4H8O2",14,0,1,"met",1.7645,88.106,794.57,660.2399,-0.26789,0.01564,0.12612500000000001,0.141765,0.141765,-307.70723253,0.119026,0.126343,0.127287,0.08716,-307.588207,-307.58089,-307.579945,-307.620073,1.0613,794.57,660.6433,"213.73","0.0012","0.000","156.84","0.0928","0.000","149.83","0.0003","0.000","134.32","0.0933","0.000","134.15","0.0025","0.000","131.29","0.0049","0.000","128.41","0.0973","0.000","125.62","0.0219","0.000","124.07","0.0043","0.000","123.68","0.0076","0.000","4","O",1,0,"-0.449863","-0.877474","-0.56333","1.99975","6.55211","0.01147","8.56333","133.4456","144.3305","-0.437464","-0.52183","1.99977","6.51032","0.01175","8.52183","3","O",0,0,1,"-0.469605","-0.684493","-0.60232","1.99978","6.58288","0.01966","8.60232","-72.4903","571.7784","-0.303170","-0.28495","1.99981","6.26497","0.02017","8.28495","2","C",1,0,"0.599884","1.115685","0.82369","1.99949","3.13209","0.04474","5.17631","29.1403","84.1351","0.462275","0.48732","1.99952","3.47265","0.04051","5.51268","8","H",1,0,"0.180951","0.020162","0.25621","0.00000","0.74292","0.00087","0.74379","30.2349","6.0087","0.161465","0.23117","0.00000","0.76438","0.00445","0.76883",0.5573785216011496,0.43112481662225677,0.5582467590790694,0.33448100356276755
