base_file_name,base_SMILES
base_1,N1(CC2)CCC2CC1
base_2,CN1CCN2CCN(C)P1N(C)CC2
base_3,CN(/C(N(C)C)=N\C(C)(C)C)C
base_4,CCN(CC)CC
base_5,C1NCCC1
base_6,CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2
base_7,C12=NCCCN1CCCCC2
base_8,CN1C2=NCCCN2CCC1
base_9,CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3
base_10,N12CCCN=C1NCCC2
