solvent_file_name,solvent_SMILES,solvent_stoichiometry,solvent_number_of_atoms,solvent_charge,solvent_multiplicity,solvent_convergence_criteria,solvent_dipole,solvent_molar_mass,solvent_molar_volume,solvent_electronic_spatial_extent,solvent_homo_energy,solvent_lumo_energy,solvent_electronegativity,solvent_hardness,solvent_electrophilicity,solvent_E_scf,solvent_zero_point_correction,solvent_E_thermal_correction,solvent_H_thermal_correction,solvent_G_thermal_correction,solvent_E_zpe,solvent_E,solvent_H,solvent_G,solvent_ES_root_dipole,solvent_ES_root_molar_volume,solvent_ES_root_electronic_spatial_extent,solvent_ES1_transition,solvent_ES1_osc_strength,solvent_ES1_<S**2>,solvent_ES2_transition,solvent_ES2_osc_strength,solvent_ES2_<S**2>,solvent_ES3_transition,solvent_ES3_osc_strength,solvent_ES3_<S**2>,solvent_ES4_transition,solvent_ES4_osc_strength,solvent_ES4_<S**2>,solvent_ES5_transition,solvent_ES5_osc_strength,solvent_ES5_<S**2>,solvent_ES6_transition,solvent_ES6_osc_strength,solvent_ES6_<S**2>,solvent_ES7_transition,solvent_ES7_osc_strength,solvent_ES7_<S**2>,solvent_ES8_transition,solvent_ES8_osc_strength,solvent_ES8_<S**2>,solvent_ES9_transition,solvent_ES9_osc_strength,solvent_ES9_<S**2>,solvent_ES10_transition,solvent_ES10_osc_strength,solvent_ES10_<S**2>,solvent_atom1_atom,solvent_atom1_Mulliken_charge,solvent_atom1_APT_charge,solvent_atom1_NPA_charge,solvent_atom1_NPA_core,solvent_atom1_NPA_valence,solvent_atom1_NPA_Rydberg,solvent_atom1_NPA_total,solvent_atom1_NMR_shift,solvent_atom1_NMR_anisotropy,solvent_atom1_ES_root_Mulliken_charge,solvent_atom1_ES_root_NPA_charge,solvent_atom1_ES_root_NPA_core,solvent_atom1_ES_root_NPA_valence,solvent_atom1_ES_root_NPA_Rydberg,solvent_atom1_ES_root_NPA_total,solvent_c_min_atom_number,solvent_c_min_atom,solvent_c_min_atom=O,solvent_c_min_atom=C,solvent_c_min_Mulliken_charge,solvent_c_min_APT_charge,solvent_c_min_NPA_charge,solvent_c_min_NPA_core,solvent_c_min_NPA_valence,solvent_c_min_NPA_Rydberg,solvent_c_min_NPA_total,solvent_c_min_NMR_shift,solvent_c_min_NMR_anisotropy,solvent_c_min_ES_root_Mulliken_charge,solvent_c_min_ES_root_NPA_charge,solvent_c_min_ES_root_NPA_core,solvent_c_min_ES_root_NPA_valence,solvent_c_min_ES_root_NPA_Rydberg,solvent_c_min_ES_root_NPA_total,solvent_c_min+1_atom_number,solvent_c_min+1_atom,solvent_c_min+1_atom=N,solvent_c_min+1_atom=C,solvent_c_min+1_Mulliken_charge,solvent_c_min+1_APT_charge,solvent_c_min+1_NPA_charge,solvent_c_min+1_NPA_core,solvent_c_min+1_NPA_valence,solvent_c_min+1_NPA_Rydberg,solvent_c_min+1_NPA_total,solvent_c_min+1_NMR_shift,solvent_c_min+1_NMR_anisotropy,solvent_c_min+1_ES_root_Mulliken_charge,solvent_c_min+1_ES_root_NPA_charge,solvent_c_min+1_ES_root_NPA_core,solvent_c_min+1_ES_root_NPA_valence,solvent_c_min+1_ES_root_NPA_Rydberg,solvent_c_min+1_ES_root_NPA_total,solvent_c_max_atom_number,solvent_c_max_atom,solvent_c_max_atom=C,solvent_c_max_atom=H,solvent_c_max_Mulliken_charge,solvent_c_max_APT_charge,solvent_c_max_NPA_charge,solvent_c_max_NPA_core,solvent_c_max_NPA_valence,solvent_c_max_NPA_Rydberg,solvent_c_max_NPA_total,solvent_c_max_NMR_shift,solvent_c_max_NMR_anisotropy,solvent_c_max_ES_root_Mulliken_charge,solvent_c_max_ES_root_NPA_charge,solvent_c_max_ES_root_NPA_core,solvent_c_max_ES_root_NPA_valence,solvent_c_max_ES_root_NPA_Rydberg,solvent_c_max_ES_root_NPA_total,solvent_c_max-1_atom_number,solvent_c_max-1_atom,solvent_c_max-1_atom=H,solvent_c_max-1_atom=C,solvent_c_max-1_Mulliken_charge,solvent_c_max-1_APT_charge,solvent_c_max-1_NPA_charge,solvent_c_max-1_NPA_core,solvent_c_max-1_NPA_valence,solvent_c_max-1_NPA_Rydberg,solvent_c_max-1_NPA_total,solvent_c_max-1_NMR_shift,solvent_c_max-1_NMR_anisotropy,solvent_c_max-1_ES_root_Mulliken_charge,solvent_c_max-1_ES_root_NPA_charge,solvent_c_max-1_ES_root_NPA_core,solvent_c_max-1_ES_root_NPA_valence,solvent_c_max-1_ES_root_NPA_Rydberg,solvent_c_max-1_ES_root_NPA_total,solvent_atom1_%VBur,solvent_c_min_%VBur,solvent_c_min+1_%VBur,solvent_c_max_%VBur,solvent_c_max-1_%VBur
DMF,O=CN(C)C,C3H7NO,12,0,1,met,3.8297,73.0944,751.89,443.7717,-0.24217,0.03219,0.10499,0.13718,0.13718,-248.5122455,0.103039,0.109123,0.110067,0.073941,-248.409207,-248.403123,-248.402178,-248.438305,2.3631,790.122,442.5973,214.49,0.0008,0.000,172.37,0.2319,0.000,158.36,0.0295,0.000,147.38,0.0320,0.000,144.67,0.0146,0.000,135.92,0.0661,0.000,134.78,0.0005,0.000,131.61,0.0000,0.000,128.24,0.0010,0.000,127.98,0.0072,0.000,O1,-0.467955,-0.765884,-0.61669,1.99982,6.59714,0.01972,8.61669,-44.8937,556.4652,-0.293068,-0.27355,1.99984,6.25888,0.01484,8.27355,1,O,1,0,-0.467955,-0.765884,-0.61669,1.99982,6.59714,0.01972,8.61669,-44.8937,556.4652,-0.293068,-0.27355,1.99984,6.25888,0.01484,8.27355,3,N,1,0,-0.347144,-0.728141,-0.47734,1.99939,5.46726,0.01068,7.47734,152.0657,111.5214,-0.345365,-0.46415,1.99939,5.45334,0.01141,7.46415,2,C,1,0,0.349649,1.004705,0.51620,1.99950,3.44684,0.03747,5.48380,40.9853,68.3881,0.160522,0.11328,1.99952,3.83876,0.04844,5.88672,7,H,1,0,0.203750,0.062486,0.26112,0.00000,0.73636,0.00252,0.73888,28.0210,6.5332,0.178210,0.24000,0.00000,0.75891,0.00109,0.76000,0.35516900691596054,0.35516900691596054,0.6164186700996976,0.467021945450735,0.3902278374898955
MeCN,N#CC,C2H3N,6,0,1,met,3.8131,41.0524,425.305,161.6107,-0.32637,0.03667,0.14485,0.18152,0.18152,-132.754928297,0.045641,0.049235,0.050179,0.021625,-132.709288,-132.705693,-132.704749,-132.733304,2.9108,425.305,162.859,159.68,0.0000,0.000,153.54,0.0025,0.000,153.54,0.0025,0.000,131.71,0.0210,0.000,131.71,0.0210,0.000,122.80,0.0015,0.000,122.79,0.0015,0.000,113.99,0.1877,0.000,109.58,0.4304,0.000,104.29,0.0000,0.000,N1,-0.456351,-0.306420,-0.32748,1.99965,5.30657,0.02125,7.32748,-1.6109,470.7644,-0.430804,-0.26481,1.99970,5.22813,0.03698,7.26481,3,C,0,1,-0.520354,0.084605,-0.78330,1.99927,4.77904,0.00498,6.78330,187.8659,20.7477,-0.495934,-0.79157,1.99932,4.78347,0.00878,6.79157,1,N,1,0,-0.456351,-0.306420,-0.32748,1.99965,5.30657,0.02125,7.32748,-1.6109,470.7644,-0.430804,-0.26481,1.99970,5.22813,0.03698,7.26481,2,C,1,0,0.351058,0.115030,0.28376,1.99942,3.68513,0.03168,5.71624,86.8488,304.6184,0.368080,0.29823,1.99956,3.65763,0.04457,5.70177,5,H,1,0,0.208554,0.035615,0.27567,0.00000,0.72364,0.00069,0.72433,30.5833,8.5239,0.186214,0.25270,0.00000,0.74073,0.00656,0.74730,0.2840633513966648,0.3490913445705218,0.2840633513966648,0.3987006377054579,0.30412263105895027
MeOH,CO,CH4O,6,0,1,met,1.6941,32.042,323.713,84.09,-0.26453,0.07525,0.09464,0.16988999999999999,0.16988999999999999,-115.714405962,0.051473,0.054763,0.055707,0.028753,-115.662933,-115.659643,-115.658699,-115.685653,3.0861,422.625,89.4388,162.04,0.0001,0.000,129.71,0.0521,0.000,128.27,0.0083,0.000,120.57,0.0119,0.000,113.97,0.0417,0.000,112.82,0.0144,0.000,107.83,0.1696,0.000,102.69,0.0316,0.000,99.96,0.0049,0.000,99.24,0.2117,0.000,O1,-0.605213,-0.566465,-0.74126,1.99985,6.72796,0.01345,8.74126,315.8265,104.6123,-0.021092,-0.26733,1.99989,6.23122,0.03622,8.26733,2,O,1,0,-0.605213,-0.566465,-0.74126,1.99985,6.72796,0.01345,8.74126,315.8265,104.6123,-0.021092,-0.26733,1.99989,6.23122,0.03622,8.26733,1,C,0,1,-0.205081,0.522048,-0.30618,1.99949,4.29367,0.01303,6.30618,139.2811,68.3034,-0.320470,-0.47173,1.99943,4.44285,0.02945,6.47173,6,H,0,1,0.390453,0.236405,0.46633,0.00000,0.53190,0.00177,0.53367,32.8774,16.7156,-0.221720,-0.00123,0.00000,0.90268,0.09855,1.00123,5,H,1,0,0.161375,-0.022108,0.21181,0.00000,0.78735,0.00084,0.78819,28.7263,7.0760,0.174303,0.22186,0.00000,0.77194,0.00620,0.77814,0.3178647345887847,0.3178647345887847,0.32930151791862516,0.2697224633992994,0.2921170024849555
THF,C1COCC1,C4H8O,13,0,1,met,1.7892,72.1066,597.89,373.629,-0.23738,0.08754,0.07492,0.16246,0.16246,-232.44944943,0.117359,0.122315,0.123259,0.0887,-232.33209,-232.327135,-232.32619,-232.360749,2.3578,732.11,380.8533,159.41,0.0179,0.000,144.80,0.0029,0.000,141.90,0.0037,0.000,133.60,0.0009,0.000,129.57,0.0024,0.000,128.42,0.0049,0.000,126.78,0.0408,0.000,123.90,0.1566,0.000,121.57,0.0032,0.000,121.14,0.0108,0.000,O1,-0.493114,-0.666907,-0.58697,1.99982,6.57538,0.01177,8.58697,286.7437,130.8480,-0.186951,-0.12203,1.99985,6.11343,0.00875,8.12203,3,O,1,0,-0.493114,-0.666907,-0.58697,1.99982,6.57538,0.01177,8.58697,286.7437,130.8480,-0.186951,-0.12203,1.99985,6.11343,0.00875,8.12203,5,C,0,1,-0.305722,0.057543,-0.49428,1.99934,4.48427,0.01066,6.49428,160.9869,18.1807,-0.192036,-0.49929,1.99936,4.48574,0.01418,6.49929,2,C,1,0,-0.002875,0.506796,-0.10605,1.99931,4.08906,0.01768,6.10605,122.7862,69.7594,-0.044150,-0.16665,1.99922,4.14499,0.02244,6.16665,4,C,0,1,-0.002817,0.506688,-0.10608,1.99931,4.08910,0.01767,6.10608,122.7962,69.8105,-0.044222,-0.16675,1.99922,4.14506,0.02246,6.16675,0.4993263674740277,0.4993263674740277,0.5318403640609562,0.5007634501961019,0.5007634501961019
