"base_file_name","base_SMILES","base_stoichiometry","base_number_of_atoms","base_charge","base_multiplicity","base_convergence_criteria","base_dipole","base_molar_mass","base_molar_volume","base_electronic_spatial_extent","base_homo_energy","base_lumo_energy","base_electronegativity","base_hardness","base_electrophilicity","base_E_scf","base_zero_point_correction","base_E_thermal_correction","base_H_thermal_correction","base_G_thermal_correction","base_E_zpe","base_E","base_H","base_G","base_ES_root_dipole","base_ES_root_molar_volume","base_ES_root_electronic_spatial_extent","base_ES1_transition","base_ES1_osc_strength","base_ES1_<S**2>","base_ES2_transition","base_ES2_osc_strength","base_ES2_<S**2>","base_ES3_transition","base_ES3_osc_strength","base_ES3_<S**2>","base_ES4_transition","base_ES4_osc_strength","base_ES4_<S**2>","base_ES5_transition","base_ES5_osc_strength","base_ES5_<S**2>","base_ES6_transition","base_ES6_osc_strength","base_ES6_<S**2>","base_ES7_transition","base_ES7_osc_strength","base_ES7_<S**2>","base_ES8_transition","base_ES8_osc_strength","base_ES8_<S**2>","base_ES9_transition","base_ES9_osc_strength","base_ES9_<S**2>","base_ES10_transition","base_ES10_osc_strength","base_ES10_<S**2>","base_atom1_atom","base_atom1_Mulliken_charge","base_atom1_APT_charge","base_atom1_NPA_charge","base_atom1_NPA_core","base_atom1_NPA_valence","base_atom1_NPA_Rydberg","base_atom1_NPA_total","base_atom1_NMR_shift","base_atom1_NMR_anisotropy","base_atom1_ES_root_Mulliken_charge","base_atom1_ES_root_NPA_charge","base_atom1_ES_root_NPA_core","base_atom1_ES_root_NPA_valence","base_atom1_ES_root_NPA_Rydberg","base_atom1_ES_root_NPA_total","base_c_min_atom_number","base_c_min_atom","base_c_min_atom=N","base_c_min_Mulliken_charge","base_c_min_APT_charge","base_c_min_NPA_charge","base_c_min_NPA_core","base_c_min_NPA_valence","base_c_min_NPA_Rydberg","base_c_min_NPA_total","base_c_min_NMR_shift","base_c_min_NMR_anisotropy","base_c_min_ES_root_Mulliken_charge","base_c_min_ES_root_NPA_charge","base_c_min_ES_root_NPA_core","base_c_min_ES_root_NPA_valence","base_c_min_ES_root_NPA_Rydberg","base_c_min_ES_root_NPA_total","base_c_min+1_atom_number","base_c_min+1_atom","base_c_min+1_atom=C","base_c_min+1_atom=N","base_c_min+1_Mulliken_charge","base_c_min+1_APT_charge","base_c_min+1_NPA_charge","base_c_min+1_NPA_core","base_c_min+1_NPA_valence","base_c_min+1_NPA_Rydberg","base_c_min+1_NPA_total","base_c_min+1_NMR_shift","base_c_min+1_NMR_anisotropy","base_c_min+1_ES_root_Mulliken_charge","base_c_min+1_ES_root_NPA_charge","base_c_min+1_ES_root_NPA_core","base_c_min+1_ES_root_NPA_valence","base_c_min+1_ES_root_NPA_Rydberg","base_c_min+1_ES_root_NPA_total","base_c_max_atom_number","base_c_max_atom","base_c_max_atom=H","base_c_max_atom=C","base_c_max_atom=P","base_c_max_Mulliken_charge","base_c_max_APT_charge","base_c_max_NPA_charge","base_c_max_NPA_core","base_c_max_NPA_valence","base_c_max_NPA_Rydberg","base_c_max_NPA_total","base_c_max_NMR_shift","base_c_max_NMR_anisotropy","base_c_max_ES_root_Mulliken_charge","base_c_max_ES_root_NPA_charge","base_c_max_ES_root_NPA_core","base_c_max_ES_root_NPA_valence","base_c_max_ES_root_NPA_Rydberg","base_c_max_ES_root_NPA_total","base_c_max-1_atom_number","base_c_max-1_atom","base_c_max-1_atom=H","base_c_max-1_atom=C","base_c_max-1_Mulliken_charge","base_c_max-1_APT_charge","base_c_max-1_NPA_charge","base_c_max-1_NPA_core","base_c_max-1_NPA_valence","base_c_max-1_NPA_Rydberg","base_c_max-1_NPA_total","base_c_max-1_NMR_shift","base_c_max-1_NMR_anisotropy","base_c_max-1_ES_root_Mulliken_charge","base_c_max-1_ES_root_NPA_charge","base_c_max-1_ES_root_NPA_core","base_c_max-1_ES_root_NPA_valence","base_c_max-1_ES_root_NPA_Rydberg","base_c_max-1_ES_root_NPA_total","base_atom1_%VBur","base_c_min_%VBur","base_c_min+1_%VBur","base_c_max_%VBur","base_c_max-1_%VBur"
"base_6_conf20123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",0.9959,300.4263,2639.654,5507.8793,-0.17286,0.06712,0.05287000000000001,0.11999000000000001,0.11999000000000001,-1151.79085092,0.484203,0.507405,0.508349,0.43371,-1151.306648,-1151.283446,-1151.282501,-1151.357141,2.8726,2900.719,5514.5157,"218.23","0.0247","0.000","214.75","0.0218","0.000","207.91","0.0082","0.000","206.74","0.0271","0.000","205.05","0.0114","0.000","199.62","0.0097","0.000","196.17","0.0030","0.000","190.74","0.0021","0.000","189.17","0.0067","0.000","188.36","0.0067","0.000","N1","-0.392111","-0.701218","-0.53602","1.99940","5.52275","0.01388","7.53602","251.9620","63.7785","-0.365486","-0.44531","1.99940","5.43261","0.01330","7.44531","9","N",1,"-0.573017","-0.883087","-0.83635","1.99942","5.82093","0.01601","7.83635","179.1889","61.0928","-0.548290","-0.81561","1.99941","5.79724","0.01896","7.81561","1","N",0,1,"-0.553286","-0.869807","-0.81987","1.99942","5.80370","0.01675","7.81987","166.2721","51.4424","-0.541138","-0.83577","1.99941","5.81413","0.02223","7.83577","8","P",0,0,1,"0.794821","1.275782","1.31576","9.99857","3.61585","0.06983","13.68424","253.6328","75.3710","0.727757","1.27431","9.99839","3.63948","0.08781","13.72569","15","C",0,1,"0.052163","0.468298","-0.04644","1.99925","4.02980","0.01739","6.04644","130.1135","50.9263","0.068301","-0.06682","1.99923","4.05000","0.01759","6.06682",0.7847669231460136,0.8655130085925571,0.8340468848238076,0.8495554025328582,0.7074937876111493
"base_6_conf21123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",0.6827,300.4263,2702.778,5658.5507,-0.16651,0.06085,0.052829999999999995,0.11368,0.11368,-1151.79913191,0.483935,0.507237,0.508181,0.433071,-1151.315197,-1151.291895,-1151.290951,-1151.366061,2.8364,2999.786,5660.6541,"232.85","0.0383","0.000","224.50","0.0565","0.000","212.35","0.0021","0.000","208.68","0.0098","0.000","204.00","0.0040","0.000","199.85","0.0060","0.000","196.04","0.0116","0.000","195.94","0.0040","0.000","194.98","0.0174","0.000","191.94","0.0060","0.000","N1","-0.386051","-0.698466","-0.53359","1.99940","5.52049","0.01370","7.53359","247.1587","62.4009","-0.357172","-0.45036","1.99940","5.43801","0.01295","7.45036","7","N",1,"-0.554739","-0.898562","-0.83423","1.99942","5.81866","0.01615","7.83423","172.4030","65.2587","-0.527578","-0.83488","1.99942","5.80974","0.02572","7.83488","1","N",0,1,"-0.555710","-0.862333","-0.83321","1.99943","5.81698","0.01681","7.83321","182.9334","53.2227","-0.484812","-0.69204","1.99945","5.67197","0.02062","7.69204","8","P",0,0,1,"0.777989","1.248326","1.33461","9.99857","3.59849","0.06833","13.66539","239.2659","126.5346","0.576082","1.12630","9.99841","3.78252","0.09277","13.87370","18","C",0,1,"0.053662","0.471688","-0.04660","1.99925","4.03012","0.01723","6.04660","132.4117","48.5069","0.045356","-0.04995","1.99923","4.03295","0.01777","6.04995",0.7762043052603216,0.8568306338133589,0.8355139067692583,0.8218017424628005,0.7025238765306429
"base_6_conf22123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",0.5863,300.4263,2535.028,5593.4823,-0.16447,0.06449,0.04999,0.11448,0.11448,-1151.79395499,0.484098,0.507292,0.508236,0.433261,-1151.309857,-1151.286663,-1151.285719,-1151.360694,2.5122,2746.28,5596.5798,"231.10","0.0428","0.000","224.98","0.0588","0.000","216.28","0.0018","0.000","206.46","0.0117","0.000","203.35","0.0093","0.000","202.51","0.0094","0.000","197.80","0.0260","0.000","196.46","0.0055","0.000","194.50","0.0035","0.000","193.25","0.0027","0.000","N1","-0.380976","-0.687272","-0.53185","1.99940","5.51870","0.01375","7.53185","245.7590","62.4354","-0.353556","-0.45200","1.99940","5.43938","0.01322","7.45200","7","N",1,"-0.560919","-0.903890","-0.83383","1.99942","5.81823","0.01619","7.83383","173.9146","65.7139","-0.527541","-0.83571","1.99943","5.80926","0.02703","7.83571","9","N",0,1,"-0.571499","-0.854846","-0.83888","1.99942","5.82296","0.01649","7.83888","186.6060","47.9209","-0.490649","-0.75562","1.99944","5.72790","0.02828","7.75562","8","P",0,0,1,"0.795943","1.252734","1.33952","9.99856","3.59323","0.06869","13.66048","250.1164","93.9422","0.603385","1.15564","9.99839","3.75415","0.09183","13.84436","12","C",0,1,"0.063227","0.471089","-0.04151","1.99924","4.02622","0.01605","6.04151","133.9020","47.7482","0.087918","-0.05512","1.99924","4.03830","0.01757","6.05512",0.7701865213616359,0.8608125505224394,0.8572198437172539,0.8341367024939372,0.711266129756594
"base_6_conf23123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",0.8196,300.4263,2793.252,5382.6505,-0.17014,0.06479,0.05267500000000001,0.11746500000000001,0.11746500000000001,-1151.78689042,0.484306,0.507472,0.508417,0.433969,-1151.302584,-1151.279418,-1151.278474,-1151.352921,2.5821,2705.044,5390.3425,"223.26","0.0197","0.000","214.51","0.0179","0.000","210.84","0.0129","0.000","208.70","0.0205","0.000","202.40","0.0126","0.000","200.83","0.0064","0.000","196.96","0.0023","0.000","194.80","0.0110","0.000","192.97","0.0067","0.000","188.31","0.0052","0.000","N1","-0.384143","-0.681927","-0.53277","1.99940","5.51952","0.01385","7.53277","250.1682","61.4157","-0.360754","-0.45088","1.99940","5.43838","0.01309","7.45088","9","N",1,"-0.584233","-0.865160","-0.83451","1.99942","5.81965","0.01544","7.83451","176.0196","49.1714","-0.565372","-0.80262","1.99940","5.78726","0.01595","7.80262","7","N",0,1,"-0.572661","-0.847813","-0.83211","1.99943","5.81581","0.01687","7.83211","193.3692","71.5168","-0.473716","-0.61388","1.99945","5.59648","0.01795","7.61388","8","P",0,0,1,"0.815273","1.246506","1.32012","9.99855","3.61102","0.07031","13.67988","279.6637","32.6900","0.786561","1.31850","9.99837","3.59904","0.08409","13.68150","15","C",0,1,"0.051440","0.466301","-0.04553","1.99925","4.02896","0.01732","6.04553","130.4434","51.0315","0.055965","-0.06250","1.99923","4.04606","0.01721","6.06250",0.7721325708811113,0.8545253136133648,0.8653633124756743,0.8719200023951378,0.71476901889165
"base_6_conf24123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",0.7743,300.4263,2918.337,5659.5071,-0.16465,0.06001,0.05231999999999999,0.11233,0.11233,-1151.79856128,0.48364,0.507128,0.508072,0.431698,-1151.314922,-1151.291433,-1151.290489,-1151.366863,2.8803,2795.46,5662.7232,"235.56","0.0299","0.000","226.84","0.0619","0.000","215.47","0.0054","0.000","208.66","0.0074","0.000","203.45","0.0036","0.000","202.13","0.0088","0.000","198.09","0.0043","0.000","197.79","0.0124","0.000","195.90","0.0079","0.000","193.89","0.0027","0.000","N1","-0.379856","-0.690677","-0.53181","1.99940","5.51880","0.01362","7.53181","245.1615","60.4978","-0.355029","-0.45581","1.99940","5.44353","0.01288","7.45581","7","N",1,"-0.569264","-0.878399","-0.83312","1.99943","5.81775","0.01594","7.83312","167.3924","51.5788","-0.544912","-0.81919","1.99942","5.79821","0.02157","7.81919","1","N",0,1,"-0.538517","-0.906133","-0.83608","1.99942","5.81953","0.01713","7.83608","197.1172","74.9222","-0.458408","-0.68014","1.99945","5.65779","0.02291","7.68014","8","P",0,0,1,"0.777347","1.267054","1.34439","9.99855","3.58801","0.06905","13.65561","258.0660","94.1294","0.603909","1.16422","9.99839","3.74438","0.09302","13.83578","15","C",0,1,"0.060387","0.445625","-0.04786","1.99924","4.03177","0.01685","6.04786","130.9622","52.3569","0.061645","-0.04536","1.99923","4.02839","0.01773","6.04536",0.7717733002005928,0.8335977964731595,0.8456633034939073,0.8142869973952874,0.7114457650968533
"base_6_conf25123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",0.8177,300.4263,2892.051,5798.6912,-0.16733,0.05701,0.05516,0.11217,0.11217,-1151.80202475,0.483638,0.507131,0.508075,0.431721,-1151.318387,-1151.294894,-1151.293949,-1151.370304,2.9605,2802.606,5801.1883,"235.85","0.0395","0.000","221.94","0.0602","0.000","216.97","0.0028","0.000","211.90","0.0134","0.000","201.87","0.0047","0.000","200.47","0.0015","0.000","199.35","0.0010","0.000","198.40","0.0066","0.000","193.99","0.0033","0.000","193.39","0.0074","0.000","N1","-0.384173","-0.698097","-0.53440","1.99939","5.52126","0.01374","7.53440","247.0854","65.3860","-0.359830","-0.46036","1.99939","5.44794","0.01303","7.46036","7","N",1,"-0.548914","-0.919150","-0.83790","1.99942","5.82204","0.01644","7.83790","167.9607","66.7750","-0.518782","-0.81331","1.99941","5.79235","0.02154","7.81331","1","N",0,1,"-0.529339","-0.922785","-0.83565","1.99942","5.81937","0.01686","7.83565","185.9879","68.9901","-0.456400","-0.69913","1.99943","5.67664","0.02305","7.69913","8","P",0,0,1,"0.748516","1.319327","1.34535","9.99856","3.58595","0.07014","13.65465","238.2911","129.6491","0.548460","1.13177","9.99840","3.77419","0.09564","13.86823","18","C",0,1,"0.039938","0.449452","-0.04761","1.99925","4.03086","0.01750","6.04761","138.8253","40.4147","0.060618","-0.06123","1.99922","4.04350","0.01850","6.06123",0.7803359180862849,0.841142480764049,0.8351246968653633,0.7818927577018652,0.708302146642316
"base_6_conf5123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",1.0203,300.4263,3385.018,5468.2379,-0.16969,0.06631,0.05169000000000001,0.118,0.118,-1151.7833959,0.484191,0.507287,0.508231,0.433513,-1151.299205,-1151.276109,-1151.275164,-1151.349883,2.8144,2560.84,5479.785,"220.72","0.0067","0.000","217.45","0.0212","0.000","209.32","0.0148","0.000","208.20","0.0234","0.000","203.74","0.0077","0.000","199.35","0.0022","0.000","196.58","0.0360","0.000","193.77","0.0094","0.000","191.18","0.0172","0.000","189.65","0.0067","0.000","N1","-0.384775","-0.690241","-0.53496","1.99939","5.52170","0.01387","7.53496","251.1553","65.6492","-0.363007","-0.45683","1.99939","5.44430","0.01314","7.45683","9","N",1,"-0.581833","-0.869622","-0.84215","1.99941","5.82745","0.01529","7.84215","185.8046","48.4993","-0.573907","-0.82523","1.99939","5.80936","0.01648","7.82523","1","N",0,1,"-0.552638","-0.899723","-0.83433","1.99940","5.81753","0.01740","7.83433","163.7162","47.9243","-0.548623","-0.82833","1.99938","5.80785","0.02110","7.82833","8","P",0,0,1,"0.790930","1.349673","1.33881","9.99853","3.58841","0.07424","13.66119","287.4199","85.5720","0.880001","1.45723","9.99824","3.47067","0.07385","13.54277","15","C",0,1,"0.058846","0.464658","-0.04238","1.99924","4.02570","0.01744","6.04238","130.1954","52.7667","0.048760","-0.06049","1.99922","4.04372","0.01755","6.06049",0.788359629951199,0.8417412652315798,0.8435675578575491,0.848447651267926,0.712852908595551
"base_6_conf6123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",0.6714,300.4263,3025.532,5530.9038,-0.1637,0.06206,0.050820000000000004,0.11288000000000001,0.11288000000000001,-1151.79635058,0.483886,0.507201,0.508145,0.432785,-1151.312465,-1151.28915,-1151.288206,-1151.363565,2.7419,3355.045,5533.6769,"233.97","0.0382","0.000","223.32","0.0110","0.000","216.97","0.0488","0.000","207.63","0.0140","0.000","204.10","0.0070","0.000","200.51","0.0012","0.000","199.03","0.0129","0.000","196.55","0.0009","0.000","195.90","0.0061","0.000","193.06","0.0027","0.000","N1","-0.379052","-0.686909","-0.53159","1.99940","5.51851","0.01368","7.53159","245.5895","60.8425","-0.351619","-0.45161","1.99940","5.43923","0.01299","7.45161","1","N",1,"-0.549295","-0.905620","-0.83640","1.99941","5.81993","0.01706","7.83640","195.6863","79.7805","-0.474917","-0.69910","1.99944","5.67674","0.02292","7.69910","7","N",0,1,"-0.568713","-0.875312","-0.84103","1.99942","5.82605","0.01556","7.84103","175.0245","48.5458","-0.535514","-0.81927","1.99942","5.79859","0.02126","7.81927","8","P",0,0,1,"0.793497","1.238364","1.33498","9.99854","3.59726","0.06921","13.66502","269.4919","68.5558","0.603053","1.13742","9.99839","3.77178","0.09241","13.86258","12","C",0,1,"0.055980","0.473842","-0.04546","1.99925","4.02861","0.01760","6.04546","129.9854","51.1246","0.084553","-0.05612","1.99925","4.03838","0.01849","6.05612",0.7706954881590371,0.8643753181042483,0.8430885302835244,0.8429987126133948,0.7186311787072243
"base_6_conf7123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",0.7739,300.4263,2826.254,5659.5307,-0.16465,0.06001,0.05231999999999999,0.11233,0.11233,-1151.79856136,0.48364,0.507128,0.508072,0.431697,-1151.314922,-1151.291433,-1151.290489,-1151.366864,2.8798,2764.814,5662.7455,"235.55","0.0299","0.000","226.85","0.0619","0.000","215.47","0.0054","0.000","208.66","0.0074","0.000","203.45","0.0036","0.000","202.13","0.0089","0.000","198.09","0.0043","0.000","197.79","0.0124","0.000","195.90","0.0079","0.000","193.89","0.0027","0.000","N1","-0.379859","-0.690675","-0.53181","1.99940","5.51880","0.01362","7.53181","245.1617","60.4929","-0.355025","-0.45580","1.99940","5.44352","0.01288","7.45580","7","N",1,"-0.569258","-0.878416","-0.83312","1.99943","5.81775","0.01594","7.83312","167.3990","51.5742","-0.544897","-0.81922","1.99942","5.79823","0.02157","7.81922","1","N",0,1,"-0.538523","-0.906092","-0.83607","1.99942","5.81953","0.01713","7.83607","197.1123","74.9162","-0.458419","-0.68013","1.99945","5.65778","0.02291","7.68013","8","P",0,0,1,"0.777330","1.266999","1.34438","9.99855","3.58802","0.06905","13.65562","258.0587","94.1242","0.603857","1.16416","9.99839","3.74443","0.09302","13.83584","15","C",0,1,"0.060393","0.445654","-0.04786","1.99924","4.03177","0.01685","6.04786","130.9605","52.3600","0.061651","-0.04535","1.99923","4.02839","0.01773","6.04535",0.7716834825304631,0.8335977964731595,0.845693242717284,0.8143468758420407,0.7114757043202299
"base_6_conf8123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",1.2124,300.4263,2750.765,5524.7468,-0.17343,0.06564,0.053895,0.119535,0.119535,-1151.7896488,0.484132,0.507399,0.508343,0.433025,-1151.305517,-1151.28225,-1151.281306,-1151.356623,4.7175,2569.396,5526.9381,"219.03","0.0215","0.000","213.69","0.0175","0.000","209.45","0.0208","0.000","207.94","0.0262","0.000","201.97","0.0096","0.000","198.16","0.0168","0.000","196.90","0.0009","0.000","191.64","0.0051","0.000","190.66","0.0162","0.000","187.81","0.0054","0.000","N1","-0.389305","-0.695322","-0.53669","1.99939","5.52341","0.01389","7.53669","249.3332","63.1105","-0.343406","-0.41124","1.99940","5.39920","0.01265","7.41124","7","N",1,"-0.557609","-0.898679","-0.83240","1.99942","5.81703","0.01596","7.83240","189.0795","75.0329","-0.459082","-0.64179","1.99942","5.61800","0.02438","7.64179","9","N",0,1,"-0.575703","-0.870830","-0.83471","1.99942","5.81936","0.01592","7.83471","184.8535","58.6051","-0.527398","-0.89636","1.99943","5.86894","0.02798","7.89636","8","P",0,0,1,"0.792438","1.321132","1.32829","9.99858","3.60164","0.07149","13.67171","260.7797","113.6745","0.589464","1.13644","9.99833","3.77130","0.09393","13.86356","15","C",0,1,"0.053285","0.469489","-0.04317","1.99924","4.02663","0.01730","6.04317","128.5785","55.9404","0.064155","-0.05745","1.99922","4.03918","0.01904","6.05745",0.7907847070446993,0.8305739349121284,0.8568905122601119,0.8404239394030119,0.7153378641358042
"base_6_conf9123","CC(C)N1CCN2CCN(C(C)C)P1N(C(C)C)CC2","C15H33N4P",53,0,1,"met",1.1973,300.4263,3036.766,5383.2757,-0.17302,0.06632,0.05335,0.11967,0.11967,-1151.78637726,0.484187,0.507399,0.508343,0.433661,-1151.30219,-1151.278978,-1151.278034,-1151.352716,3.7753,2563.142,5389.2861,"217.38","0.0261","0.000","214.01","0.0130","0.000","207.20","0.0085","0.000","206.96","0.0217","0.000","201.79","0.0094","0.000","198.29","0.0153","0.000","195.49","0.0099","0.000","191.44","0.0086","0.000","189.38","0.0054","0.000","187.69","0.0047","0.000","N1","-0.385475","-0.690249","-0.53516","1.99939","5.52194","0.01382","7.53516","249.3642","64.6523","-0.334018","-0.37978","1.99940","5.36794","0.01244","7.37978","7","N",1,"-0.566763","-0.893364","-0.83251","1.99941","5.81670","0.01640","7.83251","187.0952","74.1932","-0.483069","-0.66613","1.99941","5.64559","0.02113","7.66613","9","N",0,1,"-0.589216","-0.841507","-0.83152","1.99943","5.81650","0.01559","7.83152","182.5767","51.8866","-0.564961","-0.84499","1.99942","5.82543","0.02013","7.84499","8","P",0,0,1,"0.814110","1.282319","1.32213","9.99857","3.60754","0.07177","13.67787","286.2650","73.6792","0.731017","1.27568","9.99833","3.64143","0.08456","13.72432","15","C",0,1,"0.054129","0.462277","-0.04339","1.99924","4.02687","0.01728","6.04339","128.2142","56.5264","0.041499","-0.05403","1.99922","4.03604","0.01877","6.05403",0.7862339450914643,0.8521002365198647,0.8464417233016975,0.8703332235561809,0.7196790515254035
"base_7_conf1123","C12=NCCCN1CCCCC2","C9H16N2",27,0,1,"met",2.9469,152.2388,1433.251,1818.2283,-0.197,0.04229,0.07735500000000001,0.119645,0.119645,-462.094333238,0.247106,0.2569,0.257844,0.211929,-461.847227,-461.837434,-461.836489,-461.882404,2.06,1486.334,1817.2382,"217.44","0.0154","0.000","203.72","0.1165","0.000","184.06","0.0596","0.000","173.43","0.0016","0.000","166.67","0.0013","0.000","165.35","0.0112","0.000","161.21","0.0121","0.000","157.10","0.0019","0.000","154.41","0.0096","0.000","151.37","0.0179","0.000","N1","-0.477575","-0.718943","-0.55086","1.99938","5.53004","0.02143","7.55086","37.2931","307.7945","-0.424182","-0.27525","1.99889","5.25985","0.01652","7.27525","2","N",1,"-0.477575","-0.718943","-0.55086","1.99938","5.53004","0.02143","7.55086","37.2931","307.7945","-0.424182","-0.27525","1.99889","5.25985","0.01652","7.27525","6","N",0,1,"-0.435010","-0.751534","-0.49352","1.99930","5.48117","0.01305","7.49352","162.2058","65.4933","-0.414830","-0.46240","1.99932","5.44869","0.01439","7.46240","1","C",0,1,0,"0.477547","0.735390","0.45065","1.99922","3.52059","0.02954","5.54935","40.8002","116.5332","0.454646","0.21532","1.99917","3.75331","0.03219","5.78468","27","H",1,0,"0.170391","-0.000109","0.27136","0.00000","0.72679","0.00185","0.72864","29.9510","7.1215","0.142489","0.24870","0.00000","0.74912","0.00217","0.75130",0.55893536121673,0.55893536121673,0.7397682704110655,0.7035717493488218,0.42516691117032424
"base_8_conf1123","CN1C2=NCCCN2CCC1","C8H15N3",26,0,1,"met",2.7033,153.2266,1223.226,1748.2474,-0.19132,0.05047,0.07042499999999999,0.120895,0.120895,-478.132030078,0.234586,0.244748,0.245692,0.199189,-477.897444,-477.887282,-477.886338,-477.932841,1.5555,1329.594,1749.6293,"209.87","0.0319","0.000","203.12","0.1758","0.000","191.06","0.0498","0.000","180.33","0.0822","0.000","173.18","0.0456","0.000","170.55","0.0178","0.000","163.32","0.0190","0.000","160.44","0.0200","0.000","158.78","0.0228","0.000","157.33","0.0232","0.000","N1","-0.534072","-0.830353","-0.60159","1.99934","5.58143","0.02082","7.60159","79.5291","261.3490","-0.482910","-0.37071","1.99903","5.35510","0.01658","7.37071","5","N",1,"-0.534072","-0.830353","-0.60159","1.99934","5.58143","0.02082","7.60159","79.5291","261.3490","-0.482910","-0.37071","1.99903","5.35510","0.01658","7.37071","7","N",0,1,"-0.458795","-0.821756","-0.48685","1.99933","5.47398","0.01353","7.48685","184.8094","66.0595","-0.448340","-0.46924","1.99937","5.45509","0.01479","7.46924","6","C",0,1,0,"0.705225","1.128728","0.62028","1.99921","3.35214","0.02837","5.37972","49.9134","94.0139","0.668123","0.39835","1.99923","3.56561","0.03682","5.60165","18","H",1,0,"0.189041","0.033966","0.25856","0.00000","0.74030","0.00114","0.74144","28.4652","8.1554","0.168953","0.24021","0.00000","0.75877","0.00101","0.75979",0.5902817280919733,0.5902817280919733,0.6824047184216042,0.6977336007903955,0.390527229723661
"base_9_conf10123","CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3","C16H33N4P",54,0,1,"met",3.1184,312.4373,3195.865,6466.595,-0.18253,0.05951,0.061509999999999995,0.12102,0.12102,-1189.92864561,0.490955,0.514779,0.515723,0.436093,-1189.43769,-1189.413866,-1189.412922,-1189.492553,0.6059,3319.976,6478.8926,"213.81","0.0349","0.000","202.57","0.0126","0.000","201.12","0.0094","0.000","192.35","0.0101","0.000","191.95","0.0130","0.000","189.28","0.0014","0.000","188.10","0.0104","0.000","183.08","0.0182","0.000","180.59","0.0065","0.000","179.51","0.0021","0.000","N1","-0.579042","-1.192947","-1.16107","1.99935","6.14916","0.01255","8.16107","174.7310","23.6684","-0.430453","-0.82074","1.99937","5.80777","0.01361","7.82074","2","N",1,"-0.579042","-1.192947","-1.16107","1.99935","6.14916","0.01255","8.16107","174.7310","23.6684","-0.430453","-0.82074","1.99937","5.80777","0.01361","7.82074","17","N",0,1,"-0.570764","-0.986493","-0.87818","1.99943","5.86455","0.01420","7.87818","190.3297","125.6241","-0.560500","-0.85929","1.99943","5.84717","0.01270","7.85929","1","P",0,0,1,"1.136650","2.397752","2.38176","9.99735","2.50703","0.11386","12.61824","391.1917","161.3406","1.152277","2.33356","9.99763","2.52749","0.14132","12.66644","3","C",0,1,"0.232656","0.591538","0.14659","1.99911","3.83561","0.01869","5.85341","138.8293","32.7231","0.200984","0.11495","1.99912","3.86834","0.01759","5.88505",0.7827909344031615,0.7827909344031615,0.8258734768420107,0.8503038831172719,0.7733002005927966
"base_9_conf11123","CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3","C16H33N4P",54,0,1,"met",2.9773,312.4373,2779.484,6414.4514,-0.18163,0.05814,0.06174500000000001,0.119885,0.119885,-1189.93074175,0.490949,0.514633,0.515577,0.436386,-1189.439793,-1189.416109,-1189.415165,-1189.494356,3.0023,3072.061,6426.3313,"216.96","0.0213","0.000","205.99","0.0107","0.000","201.94","0.0102","0.000","192.90","0.0042","0.000","191.26","0.0061","0.000","189.50","0.0042","0.000","185.39","0.0169","0.000","183.18","0.0096","0.000","180.05","0.0107","0.000","179.44","0.0072","0.000","N1","-0.583954","-1.187554","-1.16435","1.99935","6.15257","0.01244","8.16435","185.4087","44.8249","-0.441377","-0.81110","1.99938","5.79819","0.01353","7.81110","2","N",1,"-0.583954","-1.187554","-1.16435","1.99935","6.15257","0.01244","8.16435","185.4087","44.8249","-0.441377","-0.81110","1.99938","5.79819","0.01353","7.81110","7","N",0,1,"-0.580216","-0.989893","-0.87476","1.99946","5.86104","0.01425","7.87476","190.5178","115.0810","-0.537605","-0.78526","1.99946","5.77281","0.01300","7.78526","1","P",0,0,1,"1.155536","2.386305","2.37934","9.99735","2.50963","0.11368","12.62066","388.8637","152.4457","1.171073","2.32361","9.99765","2.53639","0.14236","12.67639","3","C",0,1,"0.232671","0.587440","0.14731","1.99911","3.83458","0.01900","5.85269","139.0754","33.0860","0.209547","0.11539","1.99912","3.86696","0.01853","5.88461",0.7865033981018532,0.7865033981018532,0.8301847250082333,0.8556630041016736,0.7745277087512349
